Product,Price
Babador Impermeável Branco - SSPlus,"16,99"
,"33,99"
anestésico tópico,Not found
,"239,99"
,"8,19"
,"20,90"
,"9,90"
,"22,99"
dique de borracha,Not found
top dam (isolamento),Not found
paramonoclorofenol,Not found
clorexidina gel 2%,Not found
hipoclorito 2.5%,Not found
agulha irrigação MK LIFE,Not found
seringa descartável,Not found
kit de limas K manuais,Not found
kit limas 8 ou 10 (apenas um uso),Not found
,"64,90"
,"64,90"
,"64,90"
,"64,90"
sistema rotatório (RECIPROC),Not found
solução EDTA,Not found
Eucaliptol (retratamento),Not found
,"37,90"
,"107,99"
cimento obturador (SEALER PLUS),Not found
,"42,90"
,"42,90"
envelope de esterilização (grande),Not found
envelope de esterelizaçao (pequeno),Not found
selador provisório (Villevie),Not found
,"55,99"
