Product,Price
Babador Impermeável Branco - SSPlus,"16,99"
Agulha Gengival - AllPrime,"33,99"
anestésico tópico,Not found
Anestésico Articaine 4% 1:100.000 - DFL,"239,99"
Ponta Diamantada Esférica FG - Fava,"4,59"
Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen,"20,90"
Rolo Dental - Cremer,"9,90"
Compressa de Gaze 9 Fios Não Estéril - Ultracotton,"22,99"
dique de borracha,Not found
top dam (isolamento),Not found
paramonoclorofenol,Not found
clorexidina gel 2%,Not found
hipoclorito 2.5%,Not found
agulha irrigação MK LIFE,Not found
seringa descartável,Not found
kit de limas K manuais,Not found
kit limas 8 ou 10 (apenas um uso),Not found
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
sistema rotatório (RECIPROC),Not found
solução EDTA,Not found
Eucaliptol (retratamento),Not found
Ponta de Papel Absorvente Cellpack - AllPrime,"37,90"
Kit Hidróxido de Cálcio Ultracal XS - Ultradent,"107,99"
cimento obturador (SEALER PLUS),Not found
Guta Percha Acessória Maillefer - Dentsply Sirona,"42,90"
Guta Percha Acessória Maillefer - Dentsply Sirona,"42,90"
envelope de esterilização (grande),Not found
envelope de esterelizaçao (pequeno),Not found
selador provisório (Villevie),Not found
Ionômero de Vidro Forrador Ionglass Photo Opaco Universal - Maquira,"55,99"
