Product,Price
Babador Impermeável Branco - SSPlus,"19,90
15% OFF"
Agulha Gengival - AllPrime,"49,90
32% OFF"
Anestésico Tópico Benzotop 20% Tutti-Frutti 30G - DFL,"19,98"
Anestésico Articaine 4% 1:100.000 - DFL,"256,15
6% OFF"
Ponta Diamantada Esférica FG - Microdont,
Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen,
Rolo Dental - Cremer,
Compressa de Gaze 9 Fios Não Estéril - Ultracotton,"25,90
11% OFF"
Lençol de Borracha - Madeitex,"35,90
8% OFF"
Manequim Top Dentística PD100 - Pronew,"503,90
1% OFF"
Paramonoclorofenol Canforado - Biodinâmica,"16,90"
Clorhexidina Gel 2% - Maquira,"22,90"
"Hipoclorito de Sódio 2,5% Soda Clorada - Asfer","9,79"
Agulha para Irrigação Saída Lateral - MK Life,"16,90"
seringa descartável,Not found
Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona,"190,90"
Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona,"190,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Sistema de Isolamento DS1 DS Lite - Dryshield,"2.152,90
50% OFF"
Gel EDTA - Fórmula & Ação,"23,90"
Eucaliptol - Biodinâmica,"18,90"
Ponta de Papel Absorvente Cellpack - AllPrime,
Kit Hidróxido de Cálcio Ultracal XS - Ultradent,"117,90
8% OFF"
Cimento Endodôntico Obturador Sealer 26 - Dentsply Sirona,"148,90"
Guta Percha Acessória Maillefer - Dentsply Sirona,
Guta Percha Acessória Maillefer - Dentsply Sirona,
Envelope para Esterilização Autosselante 90x260mm - AllPrime,"27,90"
Envelope para Esterilização Autosselante 90x260mm - AllPrime,"27,90"
Restaurador Provisório - Villevie,"20,90"
Ionômero de Vidro Restaurador Maxxion R - FGM,"90,99
30% OFF"
